Nome,Endereço,Latitude,Longitude
Menu caseiro,"Av. Sete de Setembro, 2147 - Fazenda, Itajaí",-26.9238582,-48.6511654
De Luca Sushi Delivery,"R. Lúcio Corrêa de Mendonça, 180 - Fazenda, Itajaí",-26.925069,-48.65252
Big Dog Café,"R. Jorge Tzachel, 350 - Fazenda, Itajaí",-26.9195287,-48.6510675
Mandarim Express,"R. Florianópolis, 100 - Fazenda, Itajaí",-26.9231012,-48.6511127
Bel Mangiare,"Av. Sete de Setembro, 2117 - Fazenda, Itajaí",-26.9237886,-48.65138040000001
Goveg - Especialidades Vegetarianas,"R. Antônio Rocha de Andrade, 127 - Fazenda, Itajaí",-26.9218985,-48.6478446
Manhattan Café,"Av. Sete de Setembro, 1500 - Box 1 - Fazenda, Itajaí",-26.9210466,-48.6539882
Hostel Casa Verde,"R. Antônio Manoel Moreira, 100 - Fazenda, Itajaí",-26.9198368,-48.6518513
Hotel Rocha,"Av. Sete de Setembro, 1377 - Fazenda, Itajaí",-26.9180146,-48.6544581
bistek novo pac 192,"R. Heitor Liberato, 1550 - Centro, Itajaí",-26.9070184,-48.6737948
Mercearia São João Carnes Premium,"R. Stringari, 584 - São João, Itajaí",-26.8993166,-48.6769808
Supermercado Amorim,"R. Avelino Werner, 95 - Barra do Rio, Itajaí",-26.8890034,-48.6728763
Mercearia Verdureira Sant'Anna,"R. Aurora Tabalipa, 64 - São João, Itajaí",-26.9016043,-48.6777242
Mercado e Açougue Tomasi,"R. Alfredo Eicke, 479 - Barra do Rio, Itajaí",-26.8916528,-48.68107759999999
ABSESC,"R. Onze de Junho, nº 189 - Fazenda, Itajaí",-26.9213473,-48.6508917
Centro Clínico Itajaí,"R. Samuel Heusi, 190 - Centro, Itajaí",-26.903842,-48.6595018
Unidade de Atendimento Infantil,"R. Felipe Reiser, 07 - Sala 05 - São João, Itajaí",-26.902844,-48.6714665
Restaurante do xande,"R. Est. Renato Vitorino, 240 - Dom Bosco, Itajaí",-26.9236186,-48.677877
