Nome,Endereço,Latitude,Longitude,Categoria
Adoleta Brinquedos,"R. Amazonas, 3000 - Garcia, Blumenau",-26.9447349,-49.0723169,store
MB Papelaria,"R. Campos Novos, 269 - Garcia, Blumenau",-26.9463128,-49.0751241,store
PC Express Celulares e Informática filial Garcia,"R. Amazonas, 4160 - Garcia, Blumenau",-26.954255,-49.0693847,store
MAHAI SHOP,"R. Amazonas, 2880 - Sala 01 - Garcia, Blumenau",-26.9435953,-49.0716536,store
Ortobom Cooper Garcia,"R. Amazonas, 3000 - Loja 05 - Garcia, Blumenau",-26.9446164,-49.0729513,store
Pet Shop Sete Bichos,"R. Amazonas, 3000 - COOPER - Garcia, Blumenau",-26.9446073,-49.0730049,store
Hospital Santa Catarina de Blumenau,"R. Amazonas, 301 - Garcia, Blumenau",-26.9267303,-49.0558767,hospital
Blumenal,"R. Cel. Vidal Ramos, 185 - Jardim Blumenau, Blumenau",-26.9259858,-49.0627565,hospital
Arrena Multi Uso Gaspar,"Garcia, Blumenau",-26.9407818,-49.066906,hospital
Cirurgia Geral e Digestiva,"Praca Mal Mascarenhas De Moraes, 217 - Ribeirão Fresco, Blumenau",-26.9268329,-49.0555909,hospital
SAS - Serv. de Avaliação em Saúde Mental,"R. Jean Romain Bonemasou, 70 - Jardim Blumenau, Blumenau",-26.9285573,-49.0632998,hospital
Qlinica,"R. Floriano Peixoto - Bom Retiro, Blumenau",-26.925113,-49.0652469,hospital
Ortopedia,"R. Berta Odebrecht, 66 - Garcia, Blumenau",-26.9299297,-49.0549356,hospital
Radioterapia,"Praca Mal Mascarenhas De Moraes, 217 - Ribeirão Fresco, Blumenau",-26.9268329,-49.0555909,hospital
Hospital Santa Catarina,"Garcia, Blumenau",-26.926048,-49.0560148,hospital
Bloco E,"R. Amazonas, 2425 - Garcia, Blumenau",-26.9402761,-49.0698347,hospital
Centro Clínico Santa Catarina,"R. Armando Odebrecht, 70 - Garcia, Blumenau",-26.9280138,-49.0560535,hospital
Instituto de Ensino e Pesquisa,"R. Amazonas, 301 - Garcia, Blumenau",-26.926624,-49.0558078,hospital
Ecology Museum Fritz Müller,"R. Itajaí, 2195 - Vorstadt, Blumenau",-26.9100861,-49.0441748,cool things to do
