Nome,Endereço,Latitude,Longitude
Mocellin Comercio e Representacoes,"Rua João Pedro Moreira de Carvalho (Loteamento Menino Jesus I), Sinop, MT, 78559-106",-11.862346649169922,-55.49512481689453
Escola Estadual Nilza de Oliveira Pipino,"Rua dos Lírios, Sinop, MT, 78550-007",-11.855550765991211,-55.50022888183594
Drogaria Primavera,"Rua das Primaveras 5719, Sinop, MT, 78550-000",-11.836689949035645,-55.49547576904297
Posto Petrobras,"Av. dos Jequitibas 699 J a R (im Primavera), Sinop, MT, 78550-396",-11.84176254272461,-55.4974365234375
Clínica Promater,"Av dos Tarumãs 976, Sinop, Mato Grosso, 78550-043",-11.86389446258545,-55.50566482543945
Hospital Regional de Sinop,"Rua das Caviunas 1759, Sinop, MT, 78550-098",-11.859678268432617,-55.51216125488281
Benedito Bar Sinop,"Av. das Sibipirunas 3347d, Sinop, MT, 78550-230",-11.857645988464355,-55.50242233276367
Dom Marco Gastro Bar,"Av. Joaquim Socreppa 1461 (Jd Ibirapuera), Sinop, MT, 78557-733",-11.885455131530762,-55.516265869140625
Escola Tecnica Estadual de Sinop - Secitec,"Av. das Sibipirunas 1681 (Jardim Jacarandas), Sinop, MT",-11.859724998474121,-55.50279998779297
Bar e Pastelaria Sao Jorge,"Av. das Embaubas S/N (Centro Sinop), Sinop, MT, 78550-001",-11.858487129211426,-55.4970817565918
Farmacia Avenida,"Av. dos Tarumãs 889, Sinop, MT, 78550-000",-11.864542007446289,-55.50481414794922
Machado,"Av. das Itaúbas 4001, Sinop, MT, 78550-170",-11.850024223327637,-55.50931167602539
Ctr Sinop,"Av. Flamboyants 2128, Sinop, MT, 78550-000",-11.868388175964355,-55.517608642578125
Iori Farma,"Av. dos Ingás 3647, Sinop, MT, 78550-276",-11.840928077697754,-55.51314926147461
Unimed,"Rua das Nogueiras 583, Sinop, MT, 78550-000",-11.857178688049316,-55.503414154052734
Nadai Confort Hotel e Spa,"Av. República Argentina 1332, Foz do Iguaçu, PR, 85851-200",-25.534549713134766,-54.581119537353516
Comercial Paloma,"Rua das Cerejeiras 1649 (Jardim Paraíso), Sinop, MT, 78556-106",-11.864409446716309,-55.51363754272461
Lanchonete e Restaurante Taruma,"Av. dos Tarumas 580 (Bairro Novo do Carmelo), Sinop, MT, 78550-001",-11.865026473999023,-55.501220703125
Hotel Pepita Palace,"Av. Gov. Julio Campos 430 (Ao Lado do Banco Itaú), Sinop, MT, 78550-260",-11.856607437133789,-55.50076675415039
Clínica Densinorte,"Av. dos Tarumãs 1009 4, Sinop, MT",-11.864314079284668,-55.50605392456055
Supermercado Santa Clara,"Av. dos Ingás 4187 (Jardim Imperial), Sinop, MT, 78555-036",-11.83509635925293,-55.512725830078125
