Nome,Endereço,Latitude,Longitude
Imigrantes Hospital e Maternidade,"Rua Pastor Sandrescky 148, Brusque, SC, 88350-040",-27.09546661376953,-48.91794967651367
Churrascaria Pruner,"Rod. Antonio Heil 30, km. 28 70, Brusque, SC, 88353-100",-27.08980941772461,-48.899169921875
Ss Farma,"Av. Consul Carlos Renaux 76, Brusque, SC, 88350-002",-27.097429275512695,-48.91581344604492
Colégio Cônsul Carlos Renaux,"Av Monte Castelo 81, Brusque, SC, 88350-340",-27.096710205078125,-48.91707992553711
Supermercado Guarani,"Rua Gen. Osório 331, Brusque, SC, 88350-480",-27.096235275268555,-48.93263626098633
Posto Petrobras,"Av. Dom Joaquim 421 J a R (im Maluche), Brusque, SC, 88354-025",-27.105924606323242,-48.920406341552734
Posto Rr Padrão,"Rua Rodrigues Alves 160, Brusque, SC, 88350-160",-27.0971736907959,-48.91416549682617
Locomotiva Bar,"Primeiro de Maio 866, Brusque, SC, 88353-202",-27.119016647338867,-48.90877914428711
Pietro\u0027s Restaurante,"Rod. Antonio Heil 3800, km. 23, Brusque, SC, 88350-075",-27.076168060302734,-48.88770294189453
Shell Posto Shell,"Av. Otto Renaux 485, Brusque, SC, 88351-302",-27.085031509399414,-48.9119987487793
Shampoo Prime Motel,"Rod. Ivo Silveira 380, km. 4, Brusque, SC, 88355-200",-27.048879623413086,-48.89229965209961
Farmácia Bom Preço,"Rua Azambuja 204, Brusque, SC, 88354-100",-27.109228134155273,-48.91954040527344
Farmácia Preço Popular,"Av. Consul Carlos Renaux 112, Brusque, SC, 88350-002",-27.09688377380371,-48.915470123291016
Escola de Ensino Fundamental Paquetá,"Rua Pe. Antonio Eising, Brusque, SC, 88353-470",-27.126972198486328,-48.9222412109375
Farmácias do Trabalhador,"Av. Cônsul Carlos Renaux 38, Brusque, SC, 88350-002",-27.09822654724121,-48.9163932800293
Monthez Hotel e Eventos,"Rod. Antônio Heil, km. 29, Brusque, SC",-27.097354888916016,-48.90455627441406
Posto Havan,"Rod. Antônio Heil, km. 29, Brusque, SC, 88352-502",-27.07797622680664,-48.888702392578125
Hospital Azambuja,"Rua Azambuja 1089, Brusque, SC, 88353-902",-27.1219425201416,-48.92116165161133
Tche Loko Restaurante,"Rua Felipe Schmidt 56, sl. 2 (Centro), Brusque, SC, 88350-075",-27.093887329101562,-48.91425704956055
Fazzenda Park Resort,"Rua Joao Mathias Zimermann 2299, Gaspar, SC, 89110-000",-26.981273651123047,-48.92868423461914
Droga Raia,"Barão de Schneeburg 110, Brusque, SC, 88350-345",-27.102785110473633,-48.941978454589844
Escola Reunida Municipal Pe Luiz Gonzaga Steiner,"Travessa Lagoa Dourada / Rua Sc -O21, 560, Centro, Brusque, SC, 88359-040",-27.13042449951172,-48.934146881103516
Farmácia e Drogaria Águas Claras,"Rua Augusto Klapoth 44, Brusque, SC, 88357-101",-27.144718170166016,-48.89992141723633
Bar do Fred,"Rua Victor Meirelles 2 98, Brusque, SC, 88352-155",-27.0824031829834,-48.90236282348633
Gruta Restaurante,"Rua Manfredo Hoffmann 5, Brusque, SC, 88353-150",-27.098045349121094,-48.90916442871094
